libgudev-1.0-0	1:238-7build1	amd64
libgupnp-1.6-0	1.6.9-4	amd64
libgupnp-igd-1.6-0	1.6.0-5	amd64
libharfbuzz0b	12.3.2-2	amd64
libheif-plugin-aomdec	1.21.2-3ubuntu0.4	amd64
libheif1	1.21.2-3ubuntu0.4	amd64
libhogweed6t64	3.10.2-1	amd64
libhwy1t64	1.3.0-2	amd64
libibverbs1	61.0-2ubuntu3	amd64
libice6	2:1.1.1-1build1	amd64
libicu78	78.2-2ubuntu1	amd64
libidn2-0	2.3.8-4build1	amd64
libiec61883-0	1.2.0-8	amd64
libimath-3-1-29t64	3.1.12-1ubuntu5	amd64
libimobiledevice-1.0-6	1.4.0-1build1	amd64
libimobiledevice-glue-1.0-0	1.3.2-2build1	amd64
libinih1	61-1ubuntu1	amd64
libinstpatch-1.0-2	1.1.7-1.1	amd64
libintl-perl	1.37-1	all
libintl-xs-perl	1.37-1	amd64
libip4tc2	1.8.11-2ubuntu3	amd64
libip6tc2	1.8.11-2ubuntu3	amd64
libisns0t64	0.101-2.1	amd64
libjack-jackd2-0	1.9.22~dfsg-5build1	amd64
libjansson4	2.14-2build4	amd64
libjbig0	2.1-6.1ubuntu3	amd64
libjcat1	0.2.5-1build1	amd64
libjemalloc2	5.3.0-4	amd64
libjpeg-turbo8	2.1.5-4ubuntu4	amd64
libjpeg8	8c-2ubuntu12	amd64
libjq1	1.8.1-4ubuntu2	amd64
libjs-sphinxdoc	8.2.3-12	all
libjson-c5	0.18+ds-3	amd64
libjson-glib-1.0-0	1.10.8+ds-2	amd64
libjson-glib-1.0-common	1.10.8+ds-2	all
libjxl0.11	0.11.1-6ubuntu4.2	amd64
libk5crypto3	1.22.1-2ubuntu4.1	amd64
libkeyutils1	1.6.3-6ubuntu3	amd64
libklibc	2.0.14-1ubuntu2	amd64
libkmod2	34.2-2ubuntu2	amd64
libkrb5-3	1.22.1-2ubuntu4.1	amd64
libkrb5support0	1.22.1-2ubuntu4.1	amd64
libksba8	1.6.7-2build1	amd64
liblastlog2-2	2.41.3-3ubuntu2.2	amd64
liblc3-1	1.1.3+dfsg-1build1	amd64
liblcms2-2	2.17-1ubuntu0.2	amd64
libldacbt-enc2	2.0.2.3+git20200429+ed310a0-5build1	amd64
libldap-common	2.6.10+dfsg-1ubuntu5	all
libldap2	2.6.10+dfsg-1ubuntu5	amd64
liblerc4	4.0.0+ds-5ubuntu2	amd64
liblilv-0-0	0.26.2-1	amd64
libllhttp9.3	9.3.3~really9.3.0+~cs12.11.8-3build1	amd64
libllvm21	1:21.1.8-6ubuntu1	amd64
liblmdb0	0.9.31-1build2	amd64
liblocale-gettext-perl	1.07-8	amd64
liblrdf0	0.6.1-5	amd64
liblsof0	4.99.4+dfsg-2build2	amd64
libltc11	1.3.2-1build2	amd64
liblua5.4-0	5.4.8-1build1	amd64
liblvm2cmd2.03	2.03.31-2ubuntu3	amd64
liblz4-1	1.10.0-8	amd64
liblzma5	5.8.3-1	amd64
liblzo2-2	2.10-3build2	amd64
libmagic-mgc	1:5.46-5build2	amd64
libmagic1t64	1:5.46-5build2	amd64
libmaxminddb0	1.12.2-1build2	amd64
libmbim-glib4	1.32.0-2ubuntu1	amd64
libmbim-proxy	1.32.0-2ubuntu1	amd64
libmbim-utils	1.32.0-2ubuntu1	amd64
libmd0	1.1.0-2build4	amd64
libmjpegutils-2.2-0	1:2.2.1-3	amd64
libmm-glib0	1.25.95-1ubuntu1	amd64
libmnl0	1.0.5-3build1	amd64
libmodplug1	1:0.8.9.0-3build2	amd64
libmodule-find-perl	0.17-1	all
libmount1	2.41.3-3ubuntu2.2	amd64
libmp3lame0	3.101~svn6525+dfsg-2	amd64
libmpathcmd0	0.14.3-2ubuntu1	amd64
libmpathpersist0	0.14.3-2ubuntu1	amd64
libmpcdec6	2:0.1~r495-3build1	amd64
libmpeg2encpp-2.2-0	1:2.2.1-3	amd64
libmpfr6	4.2.2-3	amd64
libmpg123-0t64	1.33.3-2	amd64
libmplex2-2.2-0	1:2.2.1-3	amd64
libmspack0t64	0.11-1.1build2	amd64
libmultipath0	0.14.3-2ubuntu1	amd64
libncurses6	6.6+20251231-1	amd64
libncursesw6	6.6+20251231-1	amd64
libndp0	1.9-1build1	amd64
libneon27t64	0.36.0-1	amd64
libnet9	1.3+dfsg-3	amd64
libnetfilter-conntrack3	1.1.1-1	amd64
libnetplan1	1.2-1ubuntu5	amd64
libnettle8t64	3.10.2-1	amd64
libnewt0.52	0.52.25-1ubuntu3	amd64
libnfnetlink0	1.0.2-3build1	amd64
libnftables1	1.1.6-1	amd64
libnftnl11	1.3.1-1	amd64
libnghttp2-14	1.68.0-2ubuntu0.2	amd64
libnice10	0.1.23-2	amd64
libnl-3-200	3.12.0-2	amd64
libnl-genl-3-200	3.12.0-2	amd64
libnl-route-3-200	3.12.0-2	amd64
libnm0	1.54.3-2ubuntu3	amd64
libnode127	22.22.1+dfsg+~cs22.19.15-1ubuntu1	amd64
libnpth0t64	1.8-3build1	amd64
libnspr4	2:4.38.2-1ubuntu1	amd64
libnss-mymachines	259.5-0ubuntu3.4	amd64
libnss-systemd	259.5-0ubuntu3.4	amd64
libnss3	2:3.120-1ubuntu2.1	amd64
libnss3-tools	2:3.120-1ubuntu2.1	amd64
